n_key,total,r,s,kind,seed,n_train,accuracy,val_acc,best_epoch
n1000,1000,0.0,0,baseline,0,1000,0.9578,0.9458,33
n1000,1000,0.5,500,aug,0,1500,0.9569,0.943,14
n1000,1000,0.5,500,oracle,0,1500,0.9639,0.9582,49
n1000,1000,1.0,1000,aug,0,2000,0.9589,0.9434,21
n1000,1000,1.0,1000,oracle,0,2000,0.9673,0.9636,22
n1000,1000,2.0,2000,aug,0,3000,0.9573,0.945,15
n1000,1000,2.0,2000,oracle,0,3000,0.975,0.9694,30
n1000,1000,4.0,4000,aug,0,5000,0.9593,0.9474,11
n1000,1000,4.0,4000,oracle,0,5000,0.9811,0.9736,23
n1000,1000,8.0,8000,aug,0,9000,0.9617,0.948,6
n1000,1000,8.0,8000,oracle,0,9000,0.9849,0.9794,24
n1000,1000,0.0,0,baseline,1,1000,0.9576,0.9488,35
n1000,1000,0.5,500,aug,1,1500,0.9556,0.947,17
n1000,1000,0.5,500,oracle,1,1500,0.9644,0.9596,26
n1000,1000,1.0,1000,aug,1,2000,0.9561,0.944,18
n1000,1000,1.0,1000,oracle,1,2000,0.9688,0.9602,17
n1000,1000,2.0,2000,aug,1,3000,0.9566,0.9438,23
n1000,1000,2.0,2000,oracle,1,3000,0.9746,0.9698,34
n1000,1000,4.0,4000,aug,1,5000,0.9596,0.9492,20
n1000,1000,4.0,4000,oracle,1,5000,0.978,0.9732,23
n1000,1000,8.0,8000,aug,1,9000,0.9613,0.951,7
n1000,1000,8.0,8000,oracle,1,9000,0.9828,0.9794,15
n1000,1000,0.0,0,baseline,2,1000,0.9524,0.9446,33
n1000,1000,0.5,500,aug,2,1500,0.9529,0.9428,21
n1000,1000,0.5,500,oracle,2,1500,0.9628,0.955,28
n1000,1000,1.0,1000,aug,2,2000,0.9553,0.9454,24
n1000,1000,1.0,1000,oracle,2,2000,0.968,0.9604,34
n1000,1000,2.0,2000,aug,2,3000,0.9504,0.9398,7
n1000,1000,2.0,2000,oracle,2,3000,0.9724,0.9654,17
n1000,1000,4.0,4000,aug,2,5000,0.9593,0.9468,13
